               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.046807,            0.014261,            0.011762,             0.72945,             0.88577,              0.9282,             0.41612,            0.038118,           0.0067629,           0.0040315,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044617,            0.012824,            0.010938,             0.90209,             0.92979,              0.9661,             0.46445,            0.035466,           0.0066287,           0.0039753,           0.0086536,           0.0086536,           0.0086536
                  70,             0.04397,            0.011627,            0.013133,             0.72182,             0.94737,             0.86585,             0.33888,            0.034006,           0.0065208,           0.0045188,           0.0086338,           0.0086338,           0.0086338
                  71,            0.048371,            0.016586,            0.016901,             0.75759,             0.96089,             0.94437,             0.55813,            0.027539,           0.0063548,           0.0042246,            0.008614,            0.008614,            0.008614
                  72,            0.049093,            0.012251,            0.012893,             0.75759,             0.96089,             0.94437,             0.55813,            0.027539,           0.0063548,           0.0042246,           0.0085942,           0.0085942,           0.0085942
                  73,            0.047296,            0.014056,             0.01777,             0.92388,             0.96914,             0.96343,             0.50173,            0.023145,           0.0063079,           0.0044752,           0.0085744,           0.0085744,           0.0085744
                  74,            0.041012,            0.015251,            0.012987,              0.7791,                0.95,             0.90782,             0.55088,            0.028587,           0.0065228,           0.0043621,           0.0085546,           0.0085546,           0.0085546
                  75,            0.044495,            0.012988,            0.014545,             0.67927,             0.88422,             0.89936,             0.36837,            0.039924,           0.0068599,           0.0042258,           0.0085348,           0.0085348,           0.0085348
                  76,            0.049442,            0.011932,            0.012415,             0.67927,             0.88422,             0.89936,             0.36837,            0.039924,           0.0068599,           0.0042258,            0.008515,            0.008515,            0.008515
                  77,            0.048475,            0.013432,           0.0092108,             0.80857,             0.98721,             0.98761,             0.40565,            0.035448,           0.0066268,            0.004153,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048428,            0.013292,           0.0089059,             0.73767,                   1,             0.97119,             0.49645,            0.027633,           0.0064616,           0.0041364,           0.0084754,           0.0084754,           0.0084754
                  79,            0.055459,            0.012425,            0.010769,              0.8792,             0.98647,              0.9508,             0.50772,            0.027597,           0.0059409,           0.0043675,           0.0084556,           0.0084556,           0.0084556
                  80,            0.043498,            0.011391,            0.012001,              0.8792,             0.98647,              0.9508,             0.50772,            0.027597,           0.0059409,           0.0043675,           0.0084358,           0.0084358,           0.0084358
                  81,            0.039373,            0.014261,            0.011308,             0.91604,                   1,             0.98024,             0.55356,            0.024294,            0.005912,           0.0043846,            0.008416,            0.008416,            0.008416
                  82,            0.037023,             0.01211,            0.011166,             0.78377,             0.99751,               0.955,             0.60222,            0.024742,           0.0059739,           0.0046217,           0.0083962,           0.0083962,           0.0083962
                  83,            0.040504,            0.012727,           0.0088122,             0.75202,             0.83262,             0.88701,             0.32422,            0.035874,           0.0061693,           0.0042506,           0.0083764,           0.0083764,           0.0083764
                  84,            0.051517,            0.013947,            0.011257,             0.75202,             0.83262,             0.88701,             0.32422,            0.035874,           0.0061693,           0.0042506,           0.0083566,           0.0083566,           0.0083566
                  85,            0.043771,            0.013269,           0.0099052,               0.826,             0.87293,             0.95631,               0.494,            0.029696,           0.0061321,           0.0042396,           0.0083368,           0.0083368,           0.0083368
                  86,             0.04204,            0.012905,           0.0089869,             0.74523,                   1,              0.9095,             0.39796,            0.030615,           0.0060152,           0.0037739,            0.008317,            0.008317,            0.008317
